,Unnamed: 0,Rank,Average Temperature ▼,State / Population,Unnamed: 0,State,EV Registration Count,TotalRegCount,StatePopulations,EVRegPer1000residents,EVRegPercTotalReg,EVper1000TotalReg
0,7,7.0,62.68°F,"Alabama / 4,817,678",0,Alabama,8730,2059138.9687760037,4817678,1.8120762740888867,0.0042396361451938,4.239636145193882
1,51,51.0,32.03°F,"Alaska / 728,300",1,Alaska,1970,141093.36233301714,728300,2.7049292873815736,0.0139623860926234,13.96238609262345
2,4,4.0,65.97°F,"Arizona / 6,561,516",2,Arizona,65780,2258487.5448044846,6561516,10.025122243091383,0.0291256864140441,29.125686414044196
3,12,12.0,60.09°F,"Arkansas / 2,947,036",3,Arkansas,5140,958639.3060487764,2947036,1.7441252838445136,0.0053617663782069,5.36176637820698
4,10,10.0,61.17°F,"California / 38,066,920",4,California,903620,14268528.113177458,38066920,23.737670397289826,0.0633295875252526,63.329587525252656
5,41,41.0,46.26°F,"Colorado / 5,197,580",5,Colorado,59910,1496309.6979349602,5197580,11.526518110351356,0.0400385027796592,40.03850277965925
6,35,35.0,48.60°F,"Connecticut / 3,592,053",6,Connecticut,22030,1119277.649748118,3592053,6.132983004426717,0.0196823370903167,19.6823370903168
7,22,22.0,54.48°F,"Delaware / 917,060",7,Delaware,5390,177980.04948083634,917060,5.877478027609971,0.0302842931874808,30.284293187480863
8,18,18.0,54.73°F,"District of Columbia / 633,736",8,District of Columbia,5860,199249.49000278267,633736,9.246752590984258,0.0294103638604955,29.410363860495508
9,2,2.0,71.80°F,"Florida / 19,361,792",9,Florida,167990,7853979.2406774275,19361792,8.67636631981172,0.0213891576297966,21.38915762979664
10,8,8.0,62.30°F,"Georgia / 9,907,756",10,Georgia,60120,3525144.548899592,9907756,6.06797341395973,0.0170546197938938,17.054619793893853
11,1,1.0,72.95°F,"Hawaii / 1,392,704",11,Hawaii,19760,463873.50077695824,1392704,14.18822664399614,0.0425978202395766,42.59782023957668
12,40,40.0,46.32°F,"Idaho / 1,599,464",12,Idaho,5940,569964.4036643858,1599464,3.713744104274932,0.0104217034639546,10.421703463954694
13,27,27.0,51.37°F,"Illinois / 12,868,747",13,Illinois,66880,4117589.389216722,12868747,5.197087175620128,0.0162425131984135,16.2425131984135
14,26,26.0,51.81°F,"Indiana / 6,542,411",14,Indiana,17710,2064554.4292274185,6542411,2.7069531400580003,0.0085781221116206,8.578122111620617
15,38,38.0,48.14°F,"Iowa / 3,078,116",15,Iowa,6220,1129061.0195546185,3078116,2.020716568186514,0.0055090025182639,5.5090025182639
16,20,20.0,54.68°F,"Kansas / 2,882,946",16,Kansas,7550,856988.6740653998,2882946,2.6188489135765987,0.008809918063659,8.809918063659069
17,16,16.0,55.62°F,"Kentucky / 4,383,272",17,Kentucky,7560,1567434.9216523396,4383272,1.724738962126923,0.0048231667519762,4.82316675197621
18,3,3.0,66.74°F,"Louisiana / 4,601,049",18,Louisiana,5880,1279501.4339376276,4601049,1.2779694369696997,0.0045955399845895,4.595539984589524
19,48,48.0,43.09°F,"Maine / 1,328,535",19,Maine,4990,415724.5544028758,1328535,3.756016966056596,0.0120031399328032,12.00313993280326
20,21,21.0,54.61°F,"Maryland / 5,887,776",20,Maryland,46060,2076393.394228471,5887776,7.822987831058789,0.0221826943430026,22.182694343002662
21,37,37.0,48.14°F,"Massachusetts / 6,657,291",21,Massachusetts,49440,1980433.4850940907,6657291,7.426444179772223,0.0249642315039179,24.96423150391799
22,39,39.0,46.64°F,"Michigan / 9,889,024",22,Michigan,33150,2894828.1771043334,9889024,3.3522013901472985,0.0114514568644138,11.451456864413831
23,49,49.0,42.98°F,"Minnesota / 5,383,661",23,Minnesota,24330,1729997.195176298,5383661,4.519229572590102,0.0140636066161486,14.063606616148654
24,6,6.0,63.50°F,"Mississippi / 2,984,345",24,Mississippi,2420,893598.2445304767,2984345,0.8108982037934622,0.0027081521419858,2.708152141985843
