,State,EV Registration Count,TotalRegCount,StatePopulations,EVRegPer1000residents,EVRegPercTotalReg,EVper1000TotalReg
0,Alabama,8730,2059138.9687760035,4817678,1.8120762740888867,0.004239636145193882,4.239636145193882
1,Alaska,1970,141093.36233301714,728300,2.7049292873815736,0.01396238609262345,13.96238609262345
2,Arizona,65780,2258487.5448044846,6561516,10.025122243091383,0.029125686414044193,29.125686414044193
3,Arkansas,5140,958639.3060487763,2947036,1.7441252838445136,0.00536176637820698,5.36176637820698
4,California,903620,14268528.113177458,38066920,23.737670397289826,0.06332958752525265,63.329587525252656
5,Colorado,59910,1496309.6979349602,5197580,11.526518110351356,0.04003850277965925,40.038502779659254
6,Connecticut,22030,1119277.6497481181,3592053,6.132983004426717,0.019682337090316797,19.682337090316796
7,Delaware,5390,177980.04948083634,917060,5.877478027609971,0.030284293187480868,30.284293187480866
8,District of Columbia,5860,199249.49000278267,633736,9.246752590984258,0.029410363860495507,29.410363860495508
9,Florida,167990,7853979.2406774275,19361792,8.67636631981172,0.021389157629796637,21.38915762979664
10,Georgia,60120,3525144.548899592,9907756,6.06797341395973,0.017054619793893853,17.054619793893853
11,Hawaii,19760,463873.50077695824,1392704,14.18822664399614,0.04259782023957668,42.59782023957668
12,Idaho,5940,569964.4036643858,1599464,3.713744104274932,0.010421703463954693,10.421703463954694
13,Illinois,66880,4117589.389216722,12868747,5.197087175620128,0.0162425131984135,16.2425131984135
14,Indiana,17710,2064554.4292274183,6542411,2.7069531400580003,0.008578122111620618,8.578122111620617
15,Iowa,6220,1129061.0195546185,3078116,2.020716568186514,0.0055090025182639,5.5090025182639
16,Kansas,7550,856988.6740653998,2882946,2.6188489135765987,0.00880991806365907,8.809918063659069
17,Kentucky,7560,1567434.9216523396,4383272,1.7247389621269227,0.00482316675197621,4.82316675197621
18,Louisiana,5880,1279501.4339376276,4601049,1.2779694369696997,0.0045955399845895245,4.595539984589524
19,Maine,4990,415724.5544028758,1328535,3.7560169660565963,0.012003139932803261,12.003139932803261
20,Maryland,46060,2076393.394228471,5887776,7.822987831058789,0.022182694343002664,22.182694343002662
21,Massachusetts,49440,1980433.4850940907,6657291,7.426444179772223,0.02496423150391799,24.96423150391799
22,Michigan,33150,2894828.1771043334,9889024,3.3522013901472985,0.011451456864413833,11.451456864413833
23,Minnesota,24330,1729997.195176298,5383661,4.519229572590102,0.014063606616148654,14.063606616148654
24,Mississippi,2420,893598.2445304767,2984345,0.8108982037934622,0.0027081521419858434,2.708152141985843
25,Missouri,17870,1916496.8339959097,6028076,2.9644616292163537,0.009324304472103365,9.324304472103366
26,Montana,3260,463650.9533246263,1006370,3.239365243399545,0.0070311512930665825,7.031151293066583
27,Nebraska,4570,604899.7371486156,1855617,2.4627926991399627,0.007554971046180523,7.554971046180523
28,Nevada,32950,1051676.6874952973,2761584,11.93155812026721,0.031330921747894445,31.330921747894447
29,New Hampshire,6990,458140.9954472007,1321069,5.291169499852014,0.015257311765293824,15.257311765293824
30,New Jersey,87030,2535248.2432167907,8874374,9.806888914080025,0.03432799933215771,34.32799933215771
31,New Mexico,7080,619689.6802698197,2080085,3.4037070600480273,0.011425073267183165,11.425073267183166
32,New York,84670,3112029.611099048,19594330,4.321148005571,0.027207324666200024,27.207324666200023
33,North Carolina,45590,3280487.068238955,9750405,4.6757032143793005,0.013897326540742567,13.897326540742567
34,North Dakota,640,212291.80577406386,704925,0.907898003333688,0.003014718338592559,3.014718338592559
35,Ohio,34060,4086520.899070961,11560380,2.9462699323032635,0.008334718172551932,8.334718172551932
36,Oklahoma,16290,1056366.5776049825,3818851,4.265680960058405,0.015420783225585426,15.420783225585426
37,Oregon,46980,1357126.499915782,3900343,12.045094495535393,0.0346172593364844,34.6172593364844
38,Pennsylvania,47440,3917586.210452538,12758729,3.7182387054384494,0.012109497392405818,12.109497392405817
39,Rhode Island,4340,338350.5966472798,1053252,4.120571335255001,0.012826931718179642,12.826931718179642
40,South Carolina,13490,1919529.2071378701,4727273,2.85365368151998,0.007027764907059881,7.027764907059881
41,South Dakota,1170,317696.59253930184,834708,1.4016877758449662,0.003682759045819041,3.6827590458190413
42,Tennessee,22040,2346546.716604491,6451365,3.4163312725291473,0.009392525554271685,9.392525554271685
43,Texas,149000,7784066.728915376,26092033,5.71055540210301,0.01914166530028726,19.141665300287258
45,Vermont,5260,180025.4985010645,626358,8.397753361496141,0.029218083237074872,29.21808323707487
46,Virginia,56610,2978390.890152471,8185131,6.916199630769501,0.019006907450318584,19.006907450318586
47,Washington,104050,2977073.9788036803,6899123,15.081627041581951,0.03495042472602978,34.95042472602978
48,West Virginia,1870,359429.67017915833,1853881,1.008694732833445,0.0052026867984156545,5.202686798415654
49,Wisconsin,15700,1825449.5649958292,5724692,2.742505623009937,0.008600621074971124,8.600621074971125
50,Wyoming,840,186582.65448507064,575251,1.4602321421431688,0.004502026205588218,4.502026205588217
51,Total,2442270,102973881.03858075,314107084,7.7752783187787005,0.023717373525864935,23.717373525864936
